pointing_id	beam_id	filterbank_files	target	beam_num	utc_start
3703	1287176	/beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20211021-0012/20211209_231725/cfbf00000/2021-12-09-23:17:32_cfbf00000_0000000000000000.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20211021-0012/20211209_231725/cfbf00000/2021-12-09-23:17:32_cfbf00000_0000004012498944.fil	J0954-5754	cfbf00000	2021-12-09 23:17:28
3762	1311336	/beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20211214-0002/20211215_090138/cfbf00000/2021-12-15-09:01:47_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2021-12-15 09:01:48
3866	1351422	/beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20211221-0015/20211222_040925/cfbf00000/2021-12-22-04:09:37_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2021-12-22 04:09:38
4183	1493426	/beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220116-0009/20220117_035538/cfbf00000/2022-01-17-03:56:14_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-01-17 03:56:17
4704	1562307	/beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220209-0031/20220211_033628/cfbf00000/2022-02-11-03:36:41_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-02-11 03:36:44
5068	1699375	/beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220303-0009/20220306_031922/cfbf00000/2022-03-06-03:19:25_cfbf00000_0000000000000000.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220303-0009/20220306_031922/cfbf00000/2022-03-06-03:19:25_cfbf00000_0000016049999872.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220303-0009/20220306_031922/cfbf00000/2022-03-06-03:19:25_cfbf00000_0000032099999744.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220303-0009/20220306_031922/cfbf00000/2022-03-06-03:19:25_cfbf00000_0000048149999616.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220303-0009/20220306_031922/cfbf00000/2022-03-06-03:19:25_cfbf00000_0000064199999488.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-01/20220303-0009/20220306_031922/cfbf00000/2022-03-06-03:19:25_cfbf00000_0000080249999360.fil	J0954-5754	cfbf00000	2022-03-06 03:19:22
5093	1710897	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220307-0008/20220308_002432/cfbf00000/2022-03-08-00:24:29_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-03-08 00:24:32
5458	1849323	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220401-0010/20220404_203959/cfbf00000/2022-04-04-20:40:01_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-04-04 20:39:59
5561	1850139	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220404-0014/20220406_000504/cfbf00000/2022-04-06-00:05:01_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-04-06 00:05:04
5639	1864609	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220407-0012/20220408_190035/cfbf00000/2022-04-08-19:00:33_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-04-08 19:00:35
5799	1887173	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220413-0010/20220413_205526/cfbf00000/2022-04-13-20:55:24_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-04-13 20:55:27
5901	1911090	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220422-0005/20220423_152035/cfbf00000/2022-04-23-15:20:32_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-04-23 15:20:35
6110	1958292	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220503-0006/20220510_144205/cfbf00000/2022-05-10-14:42:00_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-05-10 14:42:05
6383	2031914	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220611-0009/20220612_150942/cfbf00000/2022-06-12-15:09:39_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-06-12 15:09:42
6674	2132702	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220706-0008/20220708_165339/cfbf00000/2022-07-08-16:53:37_cfbf00000_0000000000000000.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220706-0008/20220708_165339/cfbf00000/2022-07-08-16:53:37_cfbf00000_0000032099999744.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220706-0008/20220708_165339/cfbf00000/2022-07-08-16:53:37_cfbf00000_0000064199999488.fil	J0954-5754	cfbf00000	2022-07-08 16:53:39
6692	2133055	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220711-0013/20220711_154917/cfbf00000/2022-07-11-15:49:14_cfbf00000_0000000000000000.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220711-0013/20220711_154917/cfbf00000/2022-07-11-15:49:14_cfbf00000_0000032099999744.fil	J0954-5754	cfbf00000	2022-07-11 15:49:17
6749	2141185	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220713-0010/20220714_160902/cfbf00000/2022-07-14-16:09:01_cfbf00000_0000000000000000.fil	J0954-5754	cfbf00000	2022-07-14 16:09:03
6795	2143419	/beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220720-0010/20220721_144854/cfbf00000/2022-07-21-14:48:51_cfbf00000_0000000000000000.fil /beegfs/DATA/TRAPUM/SCI-20200703-MK-02/20220720-0010/20220721_144854/cfbf00000/2022-07-21-14:48:51_cfbf00000_0000032099999744.fil	J0954-5754	cfbf00000	2022-07-21 14:48:54
